REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
10/8/2017 8:10:44 PM,EVENING,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17174726,394459,141888,10/8/2017 7:47:36 PM,10/8/2017 8:10:42 PM
10/9/2017 1:11:00 PM,DAY,THEFT/OTHER,OTHERS,3700 - 3749 BLOCK OF NEWARK STREET NW,2,204,3,3C,Cluster 14,001002 2,001002,Precinct 29,17175067,393645,140765,10/9/2017 12:17:52 PM,10/9/2017 12:25:43 PM
9/27/2017 5:12:48 PM,EVENING,THEFT F/AUTO,OTHERS,4300 - 4399 BLOCK OF GARRISON STREET NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17167983,392655,143120,9/27/2017 2:00:57 PM,9/27/2017 4:30:42 PM
9/14/2017 11:15:10 AM,DAY,THEFT F/AUTO,OTHERS,5000 - 5099 BLOCK OF BELT ROAD NW,2,202,3,3E,Cluster 11,001100 2,001100,Precinct 32,17159300,393122,143050,9/13/2017 7:00:28 PM,9/14/2017 8:15:41 AM
9/14/2017 11:52:46 AM,DAY,THEFT F/AUTO,OTHERS,5000 - 5099 BLOCK OF BELT ROAD NW,2,202,3,3E,Cluster 11,001100 2,001100,Precinct 32,17159309,393122,143050,9/13/2017 10:00:21 AM,9/14/2017 8:30:05 AM
9/12/2017 10:31:40 AM,DAY,THEFT F/AUTO,OTHERS,4522 - 4599 BLOCK OF RENO ROAD NW,2,202,3,3F,Cluster 11,001200 2,001200,Precinct 33,17158009,393732,142371,9/7/2017 7:00:45 PM,9/8/2017 7:00:34 AM
9/12/2017 11:32:40 AM,DAY,THEFT F/AUTO,OTHERS,3900 - 3999 BLOCK OF JOCELYN STREET NW,2,201,3,3G,Cluster 10,001100 1,001100,Precinct 32,17158035,393228,143533,9/11/2017 10:00:15 AM,9/11/2017 12:30:29 PM
8/30/2017 11:31:35 AM,DAY,THEFT/OTHER,OTHERS,5100 - 5133 BLOCK OF LINNEAN TERRACE NW,2,203,3,3F,Cluster 12,001301 2,001301,Precinct 138,17149898,394129,143162,8/19/2017 10:43:13 AM,8/30/2017 11:31:26 AM
8/30/2017 2:54:13 PM,DAY,BURGLARY,OTHERS,4200 - 4211 BLOCK OF 38TH STREET NW,2,202,3,3F,Cluster 11,001200 4,001200,Precinct 33,17149999,393532,141744,8/24/2017 10:00:10 AM,8/28/2017 8:30:44 PM
8/30/2017 5:15:41 PM,EVENING,BURGLARY,OTHERS,4600 - 4613 BLOCK OF 46TH STREET NW,2,202,3,3E,Cluster 11,001001 3,001001,Precinct 31,17150043,392145,142462,8/27/2017 8:30:02 AM,8/30/2017 2:09:56 PM
10/27/2017 9:44:36 AM,DAY,THEFT/OTHER,OTHERS,3700 - 3749 BLOCK OF NEWARK STREET NW,2,204,3,3C,Cluster 14,001002 2,001002,Precinct 29,17186401,393645,140765,10/27/2017 9:00:07 AM,10/27/2017 9:20:23 AM
10/27/2017 10:17:44 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,4700 - 4799 BLOCK OF MACARTHUR BOULEVARD NW,2,205,3,3D,Cluster 13,000802 1,000802,Precinct 7,17186413,392000,138451,10/26/2017 9:00:21 PM,10/27/2017 7:00:17 AM
10/13/2017 7:58:57 PM,EVENING,THEFT/OTHER,OTHERS,4854 - 4885 BLOCK OF MACARTHUR BOULEVARD NW,2,205,3,3D,Cluster 13,000801 4,000801,Precinct 8,17177882,391575,138880,10/12/2017 9:00:50 PM,10/13/2017 7:54:48 PM
10/14/2017 4:51:10 AM,MIDNIGHT,THEFT/OTHER,OTHERS,4600 - 4699 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 1,001200,Precinct 33,17178164,394190,142480,10/14/2017 3:43:47 AM,10/14/2017 4:32:09 AM
11/12/2017 8:01:13 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,OTHERS,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000501 2,000501,Precinct 26,17196324,395499,139592,11/12/2017 6:27:18 PM,11/12/2017 7:23:20 PM
10/14/2017 5:42:18 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17178399,392607,143559,10/14/2017 4:03:40 PM,10/14/2017 4:05:54 PM
10/14/2017 7:47:44 PM,EVENING,THEFT/OTHER,OTHERS,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17178502,393039,142375,10/14/2017 6:40:36 PM,10/14/2017 6:58:37 PM
10/28/2017 12:00:02 PM,DAY,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17187204,394459,141888,10/28/2017 11:10:44 AM,10/28/2017 11:30:58 AM
10/28/2017 7:53:55 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17187418,392607,143559,10/28/2017 7:20:37 PM,10/28/2017 7:21:49 PM
11/13/2017 12:12:16 PM,DAY,THEFT F/AUTO,OTHERS,2500 - 2599 BLOCK OF 39TH STREET NW,2,204,3,3B,Cluster 14,000702 1,000702,Precinct 11,17196650,393318,139472,11/12/2017 11:00:10 PM,11/13/2017 11:00:10 AM
11/13/2017 5:26:21 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17196816,392607,143559,11/13/2017 4:23:09 PM,11/13/2017 4:30:11 PM
10/29/2017 3:23:08 PM,EVENING,THEFT F/AUTO,OTHERS,3000 - 3099 BLOCK OF SEDGWICK STREET NW,2,203,3,3F,Cluster 12,000600 1,000600,Precinct 27,17187879,394578,141325,10/27/2017 4:30:50 PM,10/28/2017 8:30:59 AM
11/22/2017 9:12:56 PM,EVENING,SEX ABUSE,OTHERS,4400 - 4499 BLOCK OF MASSACHUSETTS AVENUE NW,2,205,3,3D,Cluster 13,000901 3,000901,Precinct 9,17202411,392375,141282,9/23/2016 9:00:38 PM,11/11/2017 11:59:05 PM
10/16/2017 6:11:34 PM,EVENING,THEFT/OTHER,OTHERS,3000 - 3199 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000502 2,000502,Precinct 26,17179652,395188,140277,10/16/2017 4:30:42 PM,10/16/2017 5:30:25 PM
10/30/2017 1:13:57 PM,DAY,THEFT F/AUTO,OTHERS,4800 - 4899 BLOCK OF 43RD PLACE NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17188321,392632,142760,10/30/2017 12:05:26 PM,10/30/2017 12:15:42 PM
10/30/2017 1:35:53 PM,DAY,THEFT F/AUTO,OTHERS,4200 - 4269 BLOCK OF RIVER ROAD NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17188328,392824,142515,10/30/2017 6:45:12 AM,10/30/2017 12:05:26 PM
10/30/2017 3:08:49 PM,EVENING,THEFT F/AUTO,OTHERS,5400 - 5499 BLOCK OF SHERIER PLACE NW,2,205,3,3D,Cluster 13,000902 2,000902,Precinct 8,17188374,390713,140124,10/21/2017 4:00:15 PM,10/23/2017 2:00:11 PM
9/21/2017 1:48:45 PM,DAY,THEFT/OTHER,OTHERS,4600 - 4699 BLOCK OF CATHEDRAL AVENUE NW,2,205,3,3D,Cluster 13,000801 2,000801,Precinct 10,17163957,392054,140268,9/21/2017 12:15:07 PM,9/21/2017 12:20:45 PM
9/21/2017 2:26:14 PM,DAY,THEFT/OTHER,OTHERS,4100 - 4199 BLOCK OF ALBEMARLE STREET NW,2,202,3,3E,Cluster 11,001001 4,001001,Precinct 30,17163982,392990,142227,9/21/2017 8:30:59 AM,9/21/2017 1:00:53 PM
9/10/2017 11:02:14 PM,MIDNIGHT,BURGLARY,OTHERS,3200 - 3299 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000600 2,000600,Precinct 27,17157176,395076,140525,9/10/2017 8:22:33 PM,9/10/2017 10:52:58 PM
9/11/2017 7:01:22 PM,EVENING,THEFT F/AUTO,OTHERS,3300 - 3599 BLOCK OF LEGATION STREET NW,2,201,3,3G,Cluster 10,001401 1,001401,Precinct 50,17157272,394085,143798,9/10/2017 10:00:37 PM,9/11/2017 5:40:13 AM
7/17/2017 2:15:38 PM,DAY,THEFT/OTHER,OTHERS,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000501 2,000501,Precinct 26,17122511,395499,139592,7/17/2017 1:20:03 PM,
7/17/2017 9:13:31 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17122806,392607,143559,7/16/2017 2:19:00 PM,7/16/2017 2:20:00 PM
7/17/2017 9:48:00 PM,EVENING,THEFT F/AUTO,OTHERS,3600 - 3691 BLOCK OF CALVERT STREET NW,2,204,3,3B,Cluster 14,000400 2,000400,Precinct 11,17122834,393765,139410,7/17/2017 8:50:14 AM,7/17/2017 9:20:37 AM
9/28/2017 2:26:16 PM,DAY,THEFT/OTHER,OTHERS,3300 - 3399 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3C,Cluster 14,001002 2,001002,Precinct 29,17168457,393720,140689,9/27/2017 2:00:04 PM,9/28/2017 12:39:54 PM
9/17/2017 5:15:39 PM,EVENING,THEFT/OTHER,OTHERS,3900 - 4099 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3C,Cluster 14,001002 3,001002,Precinct 29,17161535,393431,141446,9/17/2017 3:15:24 PM,9/17/2017 4:30:37 PM
9/7/2017 9:50:36 AM,DAY,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17154785,394459,141888,9/6/2017 8:00:29 AM,9/7/2017 8:20:41 AM
10/6/2017 11:45:39 AM,DAY,THEFT/OTHER,OTHERS,5523 - 5599 BLOCK OF CONNECTICUT AVENUE NW,2,201,3,3G,Cluster 10,001100 1,001100,Precinct 32,17173281,393473,144062,10/5/2017 12:00:01 PM,10/5/2017 2:00:30 PM
10/6/2017 4:19:08 PM,EVENING,THEFT/OTHER,OTHERS,4908 - 4999 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17173401,392857,142931,10/6/2017 2:15:38 PM,10/6/2017 3:35:07 PM
10/6/2017 7:01:33 PM,EVENING,THEFT/OTHER,OTHERS,5224 - 5299 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17173419,392668,143406,10/6/2017 2:27:56 PM,10/6/2017 2:50:17 PM
9/18/2017 7:31:37 AM,DAY,BURGLARY,OTHERS,5100 - 5199 BLOCK OF SHERIER PLACE NW,2,205,3,3D,Cluster 13,000902 2,000902,Precinct 8,17161830,391066,139692,9/15/2017 2:30:39 PM,9/18/2017 5:15:27 AM
8/19/2017 11:27:37 AM,DAY,THEFT F/AUTO,OTHERS,5100 - 5241 BLOCK OF NEBRASKA AVENUE NW,2,201,3,3G,Cluster 10,001402 3,001402,Precinct 50,17143160,393981,143254,8/18/2017 9:00:33 PM,8/19/2017 9:00:20 AM
8/19/2017 12:48:09 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,5330 - 5399 BLOCK OF BROAD BRANCH ROAD NW,2,201,3,3G,Cluster 10,001402 2,001402,Precinct 138,17143199,394279,143612,8/18/2017 10:00:56 AM,8/19/2017 9:30:32 AM
9/7/2017 11:42:39 AM,DAY,THEFT/OTHER,OTHERS,5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 10,001100 3,001100,Precinct 33,17154865,393930,143053,8/8/2017 4:00:57 PM,9/7/2017 11:38:23 AM
8/10/2017 2:20:37 PM,DAY,THEFT/OTHER,OTHERS,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000501 2,000501,Precinct 26,17137545,395499,139592,8/10/2017 1:35:32 PM,8/10/2017 1:38:23 PM
9/3/2017 12:29:21 PM,DAY,THEFT/OTHER,OTHERS,3800 - 3899 BLOCK OF DAVIS PLACE NW,2,204,3,3B,Cluster 14,000702 3,000702,Precinct 11,17152487,393385,139530,9/2/2017 8:36:46 AM,9/3/2017 9:00:10 AM
9/22/2017 6:00:06 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,4600 - 4699 BLOCK OF 43RD PLACE NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17164433,392632,142499,9/21/2017 10:00:32 PM,9/22/2017 5:00:54 AM
7/28/2017 9:38:36 AM,DAY,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17129396,394459,141888,7/19/2017 12:00:50 PM,7/28/2017 7:45:27 AM
8/12/2017 6:53:22 PM,EVENING,THEFT/OTHER,OTHERS,2800 - 2899 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3B,Cluster 14,000701 4,000701,Precinct 28,17139006,393653,139889,8/12/2017 12:00:22 PM,
9/29/2017 12:42:12 PM,DAY,THEFT/OTHER,OTHERS,4300 - 4321 BLOCK OF ELLICOTT STREET NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,17169065,392685,142827,9/26/2017 6:00:00 PM,9/28/2017 5:00:04 PM
9/22/2017 11:10:04 AM,DAY,THEFT/OTHER,OTHERS,3700 - 3749 BLOCK OF NEWARK STREET NW,2,204,3,3C,Cluster 14,001002 2,001002,Precinct 29,17164543,393645,140765,9/22/2017 10:10:26 AM,
9/22/2017 12:03:25 PM,DAY,THEFT/OTHER,OTHERS,3900 - 3999 BLOCK OF WINDOM PLACE NW,2,202,3,3E,Cluster 11,001200 4,001200,Precinct 33,17164561,393265,141962,9/20/2017 11:43:51 AM,9/22/2017 11:35:05 AM
9/22/2017 3:12:01 PM,EVENING,THEFT F/AUTO,OTHERS,3500 - 3599 BLOCK OF ALTON PLACE NW,2,203,3,3F,Cluster 12,001200 3,001200,Precinct 33,17164650,394072,142134,9/22/2017 1:00:12 PM,9/22/2017 1:30:33 PM
8/13/2017 1:14:43 PM,DAY,THEFT F/AUTO,OTHERS,3200 - 3299 BLOCK OF 38TH STREET NW,2,204,3,3C,Cluster 14,000701 1,000701,Precinct 28,17139430,393574,140542,8/13/2017 11:10:52 AM,8/13/2017 12:45:20 PM
7/18/2017 5:10:48 PM,EVENING,THEFT F/AUTO,OTHERS,4100 - 4199 BLOCK OF HARRISON STREET NW,2,202,3,3E,Cluster 11,001100 2,001100,Precinct 32,17123345,392965,143238,7/18/2017 3:45:20 PM,7/18/2017 4:30:43 PM
9/18/2017 8:53:24 PM,EVENING,BURGLARY,OTHERS,3600 - 3699 BLOCK OF DAVENPORT STREET NW,2,203,3,3F,Cluster 12,001200 1,001200,Precinct 33,17162329,393873,142690,9/18/2017 8:12:13 PM,9/18/2017 8:53:24 PM
9/7/2017 8:00:13 PM,EVENING,THEFT F/AUTO,OTHERS,4300 - 4317 BLOCK OF 46TH STREET NW,2,202,3,3E,Cluster 11,001001 6,001001,Precinct 30,17155172,392144,141922,9/6/2017 12:00:39 PM,9/6/2017 3:00:57 PM
9/8/2017 1:44:59 AM,MIDNIGHT,THEFT/OTHER,OTHERS,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3C,Cluster 15,000600 2,000600,Precinct 27,17155332,394895,140924,9/7/2017 10:45:42 AM,9/7/2017 12:46:30 PM
9/9/2017 7:45:57 AM,DAY,THEFT F/AUTO,OTHERS,3500 - 3599 BLOCK OF ALTON PLACE NW,2,203,3,3F,Cluster 12,001200 3,001200,Precinct 33,17155580,394072,142134,9/8/2017 12:20:57 PM,9/8/2017 12:55:17 PM
7/2/2017 7:16:59 PM,EVENING,THEFT/OTHER,OTHERS,2700 - 2799 BLOCK OF ORDWAY STREET NW,2,203,3,3C,Cluster 15,001302 2,001302,Precinct 34,17112995,395081,140795,6/28/2017 6:19:35 PM,7/2/2017 7:16:57 PM
7/2/2017 9:27:43 PM,EVENING,THEFT/OTHER,OTHERS,4530 - 4599 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 2,001200,Precinct 33,17113029,394238,142375,6/28/2017 8:00:09 PM,7/2/2017 6:00:53 PM
8/1/2017 1:43:21 PM,DAY,THEFT/OTHER,OTHERS,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3C,Cluster 15,001302 2,001302,Precinct 27,17131869,394964.33,140772.69,8/1/2017 12:11:37 PM,8/1/2017 12:12:40 PM
9/8/2017 4:19:26 PM,EVENING,THEFT F/AUTO,OTHERS,3600 - 3699 BLOCK OF ELLICOTT STREET NW,2,203,3,3F,Cluster 12,001100 4,001100,Precinct 33,17155662,393856,142825,9/8/2017 6:30:23 AM,9/8/2017 2:00:17 PM
10/2/2017 8:23:15 PM,EVENING,THEFT/OTHER,OTHERS,3300 - 3399 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3C,Cluster 14,001002 2,001002,Precinct 29,17171109,393720,140689,10/2/2017 4:00:13 PM,10/2/2017 6:00:26 PM
10/2/2017 11:08:10 PM,MIDNIGHT,THEFT/OTHER,OTHERS,4400 - 4499 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 3,001200,Precinct 33,17171199,394335,142159,10/2/2017 3:08:47 PM,
10/3/2017 1:02:48 PM,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,4400 - 4499 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 3,001200,Precinct 33,17171428,394335,142159,10/3/2017 10:35:32 AM,10/3/2017 1:02:43 PM
10/3/2017 5:26:01 PM,EVENING,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17171595,394459,141888,10/3/2017 1:51:50 PM,10/3/2017 5:25:56 PM
10/3/2017 8:23:53 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,3500 - 3599 BLOCK OF CHESAPEAKE STREET NW,2,203,3,3F,Cluster 12,001200 1,001200,Precinct 33,17171689,394054,142538,9/29/2017 8:00:20 PM,9/30/2017 12:20:31 PM
8/7/2017 6:34:55 PM,EVENING,THEFT/OTHER,OTHERS,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000501 2,000501,Precinct 26,17135748,395499,139592,8/7/2017 6:05:55 PM,8/7/2017 6:34:54 PM
9/4/2017 2:45:21 PM,DAY,THEFT/OTHER,OTHERS,5500 - 5530 BLOCK OF CONNECTICUT AVENUE NW,2,201,3,3G,Cluster 10,001100 1,001100,Precinct 32,17153129,393518,143962,9/4/2017 2:00:25 PM,9/4/2017 2:10:11 PM
9/22/2017 9:08:31 PM,EVENING,THEFT/OTHER,OTHERS,4000 - 4099 BLOCK OF ALBEMARLE STREET NW,2,202,3,3E,Cluster 11,001100 4,001100,Precinct 32,17164796,393133,142225,9/22/2017 5:00:06 PM,9/22/2017 6:26:01 PM
9/23/2017 3:14:49 AM,MIDNIGHT,THEFT/OTHER,OTHERS,2241 - 2318 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3B,Cluster 14,000300 1,000300,Precinct 11,17165086,393794,139161,9/23/2017 1:57:32 AM,9/23/2017 2:03:22 AM
8/24/2017 9:23:20 AM,DAY,THEFT/OTHER,OTHERS,2200 - 2298 BLOCK OF WISCONSIN AVENUE NW,2,204,3,3B,Cluster 14,000300 1,000300,Precinct 11,17146214,393839,139090,8/19/2017 8:15:44 PM,8/19/2017 9:15:35 PM
8/31/2017 2:08:22 PM,DAY,THEFT F/AUTO,OTHERS,4900 - 4911 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 1,001200,Precinct 33,17150696,394016,142864,8/31/2017 12:00:44 PM,8/31/2017 1:30:13 PM
8/9/2017 7:50:22 PM,EVENING,THEFT/OTHER,OTHERS,4700 - 4799 BLOCK OF WHITEHAVEN PARKWAY NW,2,205,3,3D,Cluster 13,000802 1,000802,Precinct 7,17137030,392040,138730,8/9/2017 3:15:58 PM,8/9/2017 4:15:50 PM
7/3/2017 12:24:31 PM,DAY,THEFT/OTHER,OTHERS,4700 - 4799 BLOCK OF WHITEHAVEN PARKWAY NW,2,205,3,3D,Cluster 13,000802 1,000802,Precinct 7,17113336,392040,138730,6/29/2017 9:45:32 AM,6/29/2017 1:00:49 PM
7/3/2017 12:46:06 PM,DAY,THEFT/OTHER,OTHERS,5210 - 5228 BLOCK OF CONNECTICUT AVENUE NW,2,201,3,3G,Cluster 10,001100 3,001100,Precinct 32,17113429,393795,143351,7/2/2017 11:41:54 AM,7/3/2017 11:30:34 AM
7/3/2017 3:42:34 PM,EVENING,THEFT F/AUTO,OTHERS,2731 - 2899 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000502 1,000502,Precinct 26,17113513,395341,139940,7/3/2017 12:30:57 PM,7/3/2017 2:45:10 PM
9/15/2017 10:04:40 AM,DAY,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF MANNING PLACE NW,2,205,3,3D,Cluster 13,000902 2,000902,Precinct 8,17160013,390495,140491,9/14/2017 11:30:21 PM,9/15/2017 8:15:04 AM
9/15/2017 2:51:35 PM,DAY,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17160163,394459,141888,9/15/2017 10:20:35 AM,9/15/2017 11:20:18 AM
9/15/2017 3:36:45 PM,EVENING,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17160187,394459,141888,9/15/2017 2:45:14 PM,9/15/2017 3:35:12 PM
9/15/2017 4:17:56 PM,EVENING,THEFT/OTHER,OTHERS,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000501 2,000501,Precinct 26,17160211,395499,139592,9/15/2017 3:18:35 PM,9/15/2017 3:23:43 PM
9/19/2017 1:03:30 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,2701 - 2899 BLOCK OF CALVERT STREET NW,2,204,3,3C,Cluster 15,000400 2,000400,Precinct 26,17162670,395066,139486,9/19/2017 11:12:48 AM,9/19/2017 11:22:12 AM
9/9/2017 12:33:45 PM,DAY,THEFT/OTHER,OTHERS,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3C,Cluster 15,001302 2,001302,Precinct 27,17156283,394964.33,140772.69,9/9/2017 12:00:41 PM,
8/17/2017 4:09:49 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17141993,392607,143559,8/17/2017 2:15:52 PM,8/17/2017 4:09:43 PM
